City,Area_SqFt,Bedroom,Bathroom,Floors,Parking,Road_Width_Ft,Face,Price,Price_Lakhs
Kathmandu,5476.0,6,3,2.0,8,20.0,West,90000000,900.0
Kathmandu,7187.25,5,3,2.0,8,20.0,East,80000000,800.0
Kathmandu,5818.25,5,3,2.0,8,20.0,East,70000000,700.0
Kathmandu,3508.0625,6,4,3.0,8,20.0,West,130000000,1300.0
Kathmandu,6673.875,6,3,2.0,8,20.0,East,100000000,1000.0
Kathmandu,4385.078125,5,6,3.0,8,13.0,East,100000000,1000.0
Lalitpur,16855.8125,3,4,3.0,1,11.0,South East,11000000,110.0
Kathmandu,3165.8125,5,4,2.0,8,20.0,East,50000000,500.0
Kathmandu,4406.46875,10,8,3.5,5,20.0,North,100000000,1000.0
Kathmandu,1369.0,6,4,2.5,1,12.0,South East,32500000,325.0
Pokhara,4791.5,4,5,3.0,3,15.0,South West,32000000,320.0
Kathmandu,1540.125,5,4,3.0,1,14.0,North West,39900000,399.0
Kathmandu,1711.25,2,2,1.0,1,12.0,South,15000000,150.0
Kathmandu,2738.0,5,5,3.0,3,20.0,South East,52500000,525.0
Kathmandu,1369.0,6,6,3.0,1,13.0,East,26500000,265.0
Kathmandu,1369.0,6,6,3.0,1,13.0,East,25500000,255.0
Kathmandu,2053.5,6,4,2.5,1,20.0,East,33000000,330.0
Kathmandu,2053.5,4,4,2.5,3,13.0,South,18500000,185.0
Kathmandu,3422.5,7,4,2.5,3,4.0,East,62000000,620.0
Kathmandu,1369.0,1,1,2.5,0,10.0,North,10500000,105.0
Bhaktapur,1197.875,7,3,3.0,1,10.0,East,20500000,205.0
Bhaktapur,1197.875,1,1,2.5,0,20.0,East,22000000,220.0
Kathmandu,7187.25,15,10,5.0,7,20.0,East,145000000,1450.0
Kathmandu,6502.75,5,6,3.0,4,20.0,South,55000000,550.0
Kathmandu,1369.0,4,4,2.5,1,13.0,East,24000000,240.0
Kathmandu,2087.725,6,6,3.0,3,32.0,South East,37000000,370.0
Kathmandu,6502.75,6,6,3.0,4,13.0,East,102500000,1025.0
Lalitpur,1540.125,7,4,3.5,2,13.0,South,22000000,220.0
Kathmandu,2224.625,6,6,3.0,2,16.0,East,58500000,585.0
Lalitpur,1026.75,4,3,2.5,1,13.0,East,18500000,185.0
Lalitpur,1197.875,4,3,2.5,1,13.0,East,21000000,210.0
Lalitpur,16599.125,5,3,3.0,1,13.0,South,17500000,175.0
Kathmandu,3422.5,5,6,3.0,3,15.0,East,130000000,1300.0
Kathmandu,7187.25,8,8,4.0,4,15.0,East,105000000,1050.0
Kathmandu,21904.0,5,5,3.0,4,15.0,South,105000000,1050.0
Kathmandu,1369.0,6,5,3.0,1,16.0,East,27500000,275.0
Kathmandu,2395.75,7,7,4.0,2,15.0,East,40000000,400.0
Kathmandu,1711.25,6,6,3.0,2,14.0,West,26500000,265.0
Kathmandu,1060.9750000000001,6,6,3.0,1,18.0,North East,22500000,225.0
Kathmandu,3764.75,6,6,3.0,4,15.0,South East,60000000,600.0
Kathmandu,10267.5,6,5,3.0,8,15.0,East,250000000,2500.0
Kathmandu,3080.25,9,6,4.0,3,13.0,East,40000000,400.0
Kathmandu,1197.875,6,5,3.0,1,15.0,East,30000000,300.0
Kathmandu,4107.0,6,6,3.0,4,14.0,East,65000000,650.0
Kathmandu,1711.25,5,6,3.0,2,13.0,North,33000000,330.0
Kathmandu,1369.0,5,5,2.0,1,13.0,West,30500000,305.0
Kathmandu,1060.9750000000001,2,2,1.0,1,13.0,South West,14000000,140.0
Kathmandu,1369.0,6,6,3.0,1,13.0,South East,28000000,280.0
Kathmandu,1369.0,10,5,4.0,3,26.0,South East,41000000,410.0
Kathmandu,1540.125,6,6,3.0,2,14.0,East,27000000,270.0
Kathmandu,1060.9750000000001,5,5,3.0,1,13.0,East,22000000,220.0
Kathmandu,2738.0,5,5,3.0,3,15.0,South East,37000000,370.0
Kathmandu,2310.1875,4,3,2.5,1,13.0,South West,46000000,460.0
Kathmandu,1369.0,5,3,3.0,1,13.0,East,22500000,225.0
Bhaktapur,1540.125,3,3,2.0,2,20.0,North,29000000,290.0
Kathmandu,1026.75,3,4,3.0,1,19.68504,East,31000000,310.0
Kathmandu,1818.203125,1,1,2.5,0,29.0,West,42500000,425.0
Kathmandu,1711.25,5,5,3.0,2,4.0,South East,37500000,375.0
Kathmandu,1060.9750000000001,2,1,1.0,1,4.0,West,13000000,130.0
Kathmandu,21904.0,4,3,2.5,4,20.0,South,105000000,1050.0
Kathmandu,3401.109375,4,5,2.5,4,13.0,West,80000000,800.0
Lalitpur,1540.125,3,4,2.0,2,13.0,East,25000000,250.0
Bhaktapur,2395.75,4,4,2.0,4,20.0,South,32500000,325.0
Kathmandu,1197.875,5,3,3.0,1,12.0,South West,21000000,210.0
Chitwan,983.96875,3,4,2.0,1,19.68504,West,16000000,160.0
Kathmandu,10609.75,1,1,2.5,0,20.0,West,120000000,1200.0
Chitwan,2053.5,4,2,2.0,1,16.0,East,7700000,77.0
Kathmandu,1475.953125,7,3,2.5,2,10.0,West,20000000,200.0
Bhaktapur,1026.75,7,4,3.5,1,20.0,West,19000000,190.0
Kathmandu,1369.0,1,4,3.0,2,18.0,South East,33500000,335.0
Kathmandu,1754.03125,1,1,2.5,0,13.0,North East,37000000,370.0
Kathmandu,2566.875,1,1,2.5,0,20.0,East,36000000,360.0
Kathmandu,2994.6875,8,4,3.0,5,12.0,South,40000000,400.0
Lalitpur,1026.75,2,1,1.0,1,20.0,West,12500000,125.0
Lalitpur,1112.3125,5,3,2.5,1,20.0,East,19500000,195.0
Lalitpur,1197.875,5,3,2.5,1,20.0,West,22000000,220.0
Lalitpur,1369.0,4,3,2.5,1,20.0,East,21500000,215.0
Lalitpur,1197.875,4,3,2.5,1,20.0,North East,19500000,195.0
Lalitpur,1026.75,4,3,2.5,1,13.0,South,19000000,190.0
Lalitpur,1026.75,4,3,2.5,1,13.0,South,18000000,180.0
Kathmandu,1860.984375,8,5,3.0,2,12.0,South,37000000,370.0
Kathmandu,1369.0,6,3,3.0,1,12.0,South,34000000,340.0
Kathmandu,1411.78125,8,4,3.0,1,16.0,South,26000000,260.0
Kathmandu,2224.625,5,3,2.5,1,10.0,South West,22000000,220.0
Kathmandu,1369.0,7,3,2.5,1,10.0,North East,23000000,230.0
Kathmandu,1240.65625,5,2,2.5,1,13.0,North West,15500000,155.0
Lalitpur,1129.425,6,4,3.0,1,10.0,North,23500000,235.0
Kathmandu,2139.0625,1,1,2.5,0,12.0,North East,57500000,575.0
Kathmandu,3422.5,5,5,2.5,3,20.0,South East,90000000,900.0
Kathmandu,1369.0,4,3,2.5,1,10.0,North West,17000000,170.0
Lalitpur,1112.3125,2,1,1.5,1,13.0,South,12500000,125.0
Bhaktapur,1882.375,1,1,2.5,0,20.0,North East,2100000,21.0
Kathmandu,3764.75,4,4,3.0,4,22.0,South West,45000000,450.0
Lalitpur,1026.75,2,1,1.5,1,13.0,South,12500000,125.0
Lalitpur,1197.875,4,3,2.5,2,13.0,North West,19000000,190.0
Kathmandu,3422.5,1,1,2.5,0,20.0,South West,32000000,320.0
Kathmandu,1369.0,2,1,1.5,2,20.0,South West,15500000,155.0
Kathmandu,4107.0,1,1,2.5,0,16.0,West,3000000,30.0
Kathmandu,6160.5,1,1,2.5,0,40.0,East,6500000,65.0
Kathmandu,1711.25,1,1,2.5,0,13.0,South,2350000,23.5
Kathmandu,1369.0,1,1,2.5,0,13.0,East,4100000,41.0
Kathmandu,2087.725,1,1,2.5,0,12.0,South,3500000,35.0
Kathmandu,6160.5,1,1,2.5,0,20.0,West,2800000,28.0
Kathmandu,6160.5,1,1,2.5,0,30.0,East,3500000,35.0
Kathmandu,1882.375,1,1,2.5,0,13.0,South,8500000,85.0
Kathmandu,1369.0,1,1,2.5,0,10.0,South,2850000,28.5
Kathmandu,14032.25,1,1,2.5,0,15.0,East,2600000,26.0
Kathmandu,5476.0,1,1,2.5,0,30.0,East,3800000,38.0
Kathmandu,3422.5,1,1,2.5,0,30.0,South,3500000,35.0
Kathmandu,2772.225,1,1,2.5,0,32.0,East,3500000,35.0
Kathmandu,2738.0,1,1,2.5,0,15.0,South,4200000,42.0
Bhaktapur,2053.5,1,1,2.5,0,4.0,South,2100000,21.0
Lalitpur,1540.125,1,1,2.5,0,22.96588,South West,3500000,35.0
Kathmandu,9925.25,1,1,2.5,0,16.0,East,8500000,85.0
Kathmandu,1711.25,1,1,2.5,0,16.0,North East,2450000,24.5
Kathmandu,5476.0,1,1,2.5,0,14.0,East,5700000,57.0
Kathmandu,4107.0,1,1,2.5,0,25.0,East,7000000,70.0
Kathmandu,3080.25,1,1,2.5,0,15.0,South,2500000,25.0
Kathmandu,21904.0,1,1,2.5,0,15.0,North East,4000000,40.0
Kathmandu,1369.0,1,1,2.5,0,15.0,East,5700000,57.0
Kathmandu,1711.25,1,1,2.5,0,13.0,South West,3000000,30.0
Kathmandu,4107.0,1,1,2.5,0,4.0,South,5500000,55.0
Kathmandu,2395.75,1,1,2.5,0,29.52756,East,7000000,70.0
Lalitpur,1400.0,1,1,2.5,0,20.0,North East,35000000,350.0
Kathmandu,1711.25,1,1,2.5,0,4.0,North,3000000,30.0
Chitwan,1026.75,1,1,2.5,0,30.0,East,180000000,1800.0
Kathmandu,1583.0,3,3,2.5,1,20.0,South,23000000,230.0
Kathmandu,3336.9375,1,1,2.5,0,32.0,North,11000000,110.0
Kathmandu,3422.5,1,1,2.5,0,40.0,South,11000000,110.0
